               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,             0.03148,            0.040502,           0.0022936,             0.60649,             0.64962,             0.60295,             0.37335,            0.037161,            0.080055,           0.0033959,            0.003796,            0.003796,            0.003796
                  49,            0.030926,            0.041218,           0.0019933,             0.59271,             0.65009,             0.59678,             0.37259,            0.037924,            0.084957,           0.0032074,            0.003664,            0.003664,            0.003664
                  50,            0.031403,            0.040674,           0.0019954,              0.5882,             0.64408,             0.60284,             0.37543,            0.038364,            0.081156,           0.0034945,            0.003532,            0.003532,            0.003532
                  51,            0.031594,            0.042319,           0.0020986,             0.58267,             0.65676,             0.60332,             0.38023,            0.038277,            0.081277,            0.003397,              0.0034,              0.0034,              0.0034
                  52,            0.030987,            0.040193,           0.0020265,             0.61772,             0.58741,             0.59001,             0.38074,            0.037866,             0.08042,           0.0032409,            0.003268,            0.003268,            0.003268
                  53,            0.030816,            0.039869,           0.0020075,             0.59408,              0.6096,             0.58764,             0.36569,            0.039381,            0.084932,           0.0033716,            0.003136,            0.003136,            0.003136
                  54,            0.030373,            0.039098,           0.0019077,             0.61135,             0.62498,             0.59402,             0.36324,            0.038028,            0.082093,           0.0037202,            0.003004,            0.003004,            0.003004
                  55,            0.030105,            0.039106,             0.00184,             0.61276,             0.62941,             0.59498,             0.37355,            0.038273,            0.082685,           0.0036585,            0.002872,            0.002872,            0.002872
                  56,            0.029941,            0.037829,           0.0020348,              0.5758,             0.61999,             0.58718,             0.36976,            0.038331,            0.087866,           0.0036771,             0.00274,             0.00274,             0.00274
                  57,            0.029696,            0.037629,           0.0017375,             0.59426,             0.65224,             0.60248,             0.37686,            0.038661,              0.0833,           0.0034116,            0.002608,            0.002608,            0.002608
                  58,            0.029823,            0.037439,           0.0016904,             0.59622,             0.61789,             0.58682,             0.35991,            0.039118,             0.08509,           0.0035619,            0.002476,            0.002476,            0.002476
                  59,            0.029357,            0.036287,           0.0017531,             0.57456,             0.61956,             0.57915,             0.36078,            0.039041,            0.086372,           0.0041425,            0.002344,            0.002344,            0.002344
                  60,            0.029012,            0.036747,           0.0018222,             0.58204,             0.69016,             0.59349,             0.36969,               0.038,            0.080549,           0.0034388,            0.002212,            0.002212,            0.002212
                  61,            0.028986,            0.036585,           0.0019271,             0.61151,             0.60361,             0.58909,             0.36374,            0.038113,            0.083984,           0.0038157,             0.00208,             0.00208,             0.00208
                  62,             0.02877,            0.037199,           0.0016828,              0.6044,             0.61516,             0.59885,             0.37238,            0.038352,            0.084971,           0.0037512,            0.001948,            0.001948,            0.001948
                  63,            0.028569,            0.035894,           0.0016929,             0.55492,             0.60309,              0.5793,             0.35427,            0.039746,               0.093,           0.0044906,            0.001816,            0.001816,            0.001816
                  64,            0.028161,            0.035346,           0.0016959,             0.58803,             0.65323,             0.59168,             0.36109,            0.039223,            0.087714,           0.0040684,            0.001684,            0.001684,            0.001684
                  65,            0.027415,            0.034807,           0.0017534,             0.62192,             0.60556,             0.58507,             0.35975,            0.039374,            0.089949,           0.0039423,            0.001552,            0.001552,            0.001552
                  66,            0.027939,            0.036015,           0.0015118,              0.5679,             0.67484,             0.60171,             0.37493,            0.038776,            0.085182,           0.0037396,             0.00142,             0.00142,             0.00142
                  67,            0.028498,            0.035708,           0.0016354,             0.56627,             0.64691,             0.59439,             0.36536,            0.039099,            0.088698,           0.0038935,            0.001288,            0.001288,            0.001288
                  68,            0.027841,            0.035066,           0.0015784,             0.56584,              0.6425,              0.5939,             0.36314,            0.039396,            0.091806,           0.0038678,            0.001156,            0.001156,            0.001156
                  69,            0.027605,            0.034438,           0.0014696,             0.60085,             0.62719,             0.59074,             0.36906,            0.039094,            0.087935,           0.0038068,            0.001024,            0.001024,            0.001024
                  70,            0.027097,            0.033528,           0.0016978,             0.55752,             0.66666,             0.59168,             0.36957,            0.039253,            0.090122,            0.003873,            0.000892,            0.000892,            0.000892
                  71,             0.02643,            0.032715,           0.0013806,             0.57331,              0.6354,             0.58822,             0.37218,            0.039692,            0.094148,           0.0039813,             0.00076,             0.00076,             0.00076
                  72,            0.027419,            0.034144,           0.0015857,             0.61641,             0.58996,              0.5932,             0.37122,            0.039651,            0.094676,           0.0040531,            0.000628,            0.000628,            0.000628
                  73,            0.027368,            0.033472,           0.0015091,             0.60833,              0.5854,              0.5913,             0.36731,            0.039644,            0.094249,           0.0039702,            0.000496,            0.000496,            0.000496
                  74,            0.026903,            0.032037,           0.0014844,             0.57648,             0.62301,             0.59026,             0.36773,            0.039676,            0.094524,            0.003973,            0.000364,            0.000364,            0.000364
